OpenTime;Type;Volume;Symbol;OpenPrice;S/L;T/P;CloseTime;ClosePrice;Commission;Swap;Profit;Comment
2020.12.07 09:55:02;Buy Stop;0.01;GBPAUD.;1.79999;;;2020.12.07 10:54:35;1.79624;;;;cancelled
2020.12.07 09:55:02;Buy Stop;0.01;AUDCAD.;0.95008;;;2020.12.07 10:54:35;0.94668;;;;cancelled
2020.12.03 19:38:03;Buy;0.01;AUDNZD.;1.05185;;;2020.12.04 10:11:10;1.05322;;;0.97;
2020.12.01 18:55:05;Sell Stop;0.01;AUDUSD.;0.72387;;;2020.12.04 10:11:09;0.74193;;;;cancelled
2020.12.03 21:44:23;Buy;0.01;AUDNZD.;1.05214;;;2020.12.04 10:11:09;1.05322;;;0.76;
2020.11.24 08:49:55;Sell;0.01;EURUSD.;1.18509;;;2020.11.24 15:21:18;1.18566;;;-0.57;
2020.11.24 08:49:55;Buy;0.01;EURJPY.;123.759;;;2020.11.24 15:21:18;124.074;;;3.01;
2020.11.24 04:47:09;Buy;0.01;EURNZD.;1.69805;;;2020.11.24 04:48:19;1.70004;;;1.38;
2020.11.24 03:41:17;Sell;0.01;EURCHF.;1.08082;;;2020.11.24 04:48:19;1.08103;;;-0.23;
2020.11.24 03:41:16;Buy;0.01;EURNZD.;1.69942;;;2020.11.24 04:48:19;1.70003;;;0.42;
2020.11.24 04:47:09;Sell;0.01;EURJPY.;123.855;;;2020.11.24 04:48:18;123.840;;;0.15;
2020.11.20 16:51:50;Sell;0.01;EURCAD.;1.54952;;;2020.11.24 02:24:06;1.54718;;;1.79;
2020.11.20 17:03:06;Sell;0.01;EURCAD.;1.54872;;;2020.11.24 02:24:05;1.54718;;;1.18;
2020.11.19 21:21:20;Buy;0.01;EURCAD.;1.55204;;;2020.11.20 16:39:56;1.54845;;;-2.75;
2020.11.19 21:21:20;Sell;0.01;EURAUD.;1.62835;;;2020.11.20 16:39:55;1.62190;;;4.72;
2020.11.18 10:48:22;Buy;0.01;EURAUD.;1.62382;;;2020.11.18 16:20:26;1.62294;;;-0.65;
2020.11.18 12:46:23;Sell;0.01;EURGBP.;0.89434;;;2020.11.18 16:20:25;0.89229;;;2.72;
2020.11.17 08:36:46;Buy;0.01;EURNZD.;1.71951;;;2020.11.17 14:41:39;1.72515;;;3.89;
2020.11.17 08:36:46;Sell;0.01;EURUSD.;1.18492;;;2020.11.17 14:41:38;1.18829;;;-3.37;
2020.11.16 05:42:26;Buy;0.01;EURJPY.;123.933;;;2020.11.16 13:26:22;124.143;;;2.01;
2020.11.16 05:42:27;Sell;0.01;EURAUD.;1.62612;;;2020.11.16 13:26:21;1.62296;;;2.30;
2020.11.16 00:48:48;Buy;0.01;EURJPY.;124.013;;;2020.11.16 01:01:22;123.979;;;-0.33;
2020.11.16 00:48:49;Sell;0.01;EURNZD.;1.72448;;;2020.11.16 01:01:21;1.72414;;;0.23;
2020.11.09 13:03:35;Sell;0.01;EURJPY.;123.933;;;2020.11.12 15:40:22;124.017;;;-0.80;
2020.11.09 13:03:35;Buy;0.01;EURCAD.;1.54480;;;2020.11.12 15:40:22;1.54790;;;2.36;
2020.11.02 10:44:56;Sell;0.01;EURNZD.;1.76039;;;2020.11.02 11:52:21;1.75875;;;1.09;
2020.11.02 10:57:12;Sell;0.01;EURNZD.;1.75960;;;2020.11.02 11:52:20;1.75875;;;0.56;
2020.11.02 09:25:02;Buy Stop;0.01;EURUSD.;1.16519;;;2020.11.02 11:52:20;1.16422;;;;cancelled
2020.10.30 17:25:00;Buy Stop;0.01;EURUSD.;1.16519;;;2020.11.02 11:52:20;1.16422;;;;cancelled
2020.10.29 15:11:50;Sell;0.01;EURAUD.;1.66188;;;2020.10.30 13:45:58;1.65493;;;4.91;
2020.10.29 11:25:00;Buy Stop;0.01;EURJPY.;122.724;;;2020.10.30 13:45:57;121.957;;;;cancelled
2020.10.26 09:02:39;Sell;0.01;EURAUD.;1.66322;;;2020.10.26 11:11:26;1.65541;;;5.57;
2020.10.26 08:36:01;Buy;0.01;EURUSD.;1.18408;;;2020.10.26 11:11:26;1.18036;;;-3.72;
2020.10.23 21:13:34;Sell;0.01;EURAUD.;1.66128;;;2020.10.25 22:28:05;1.66148;;;-0.14;
2020.10.23 16:00:48;Buy;0.01;EURUSD.;1.18366;;;2020.10.25 22:28:04;1.18532;;;1.66;
2020.10.21 12:25:01;Buy Stop;0.01;EURNZD.;1.78290;;;2020.10.23 10:23:50;1.76767;;;;cancelled
2020.10.23 08:25:00;Sell Stop;0.01;EURCHF.;1.07059;;;2020.10.23 10:23:49;1.07156;;;;cancelled
2020.10.21 15:25:00;Buy Stop;0.01;EURNZD.;1.78290;;;2020.10.23 10:23:49;1.76767;;;;cancelled
2020.10.22 01:03:48;Sell;0.01;EURUSD.;1.18503;;;2020.10.23 10:23:49;1.18475;;;0.28;
2020.10.21 12:47:16;Balance;;;;;;;;;;-50.00;Withdrawal
2020.10.20 06:25:53;Sell Stop;0.01;EURAUD.;1.66802;;;2020.10.20 15:05:58;1.67995;;;;cancelled
2020.10.20 07:08:04;Buy;0.01;EURCHF.;1.07139;;;2020.10.20 15:05:58;1.07210;;;0.78;
2020.10.20 00:25:22;Sell Stop;0.01;EURAUD.;1.66802;;;2020.10.20 15:05:58;1.67995;;;;cancelled
2020.10.20 00:32:45;Buy;0.01;EURCHF.;1.07172;;;2020.10.20 15:05:58;1.07210;;;0.42;
2020.10.16 11:54:43;Sell;0.01;EURGBP.;0.90710;;;2020.10.16 15:38:15;0.90711;;;-0.01;
2020.10.16 11:54:43;Buy;0.01;EURAUD.;1.65303;;;2020.10.16 15:38:15;1.65461;;;1.12;
2020.10.16 08:02:30;Sell;0.01;EURGBP.;0.90562;;;2020.10.16 11:01:42;0.90504;;;0.75;
2020.10.16 08:02:30;Buy;0.01;EURAUD.;1.65247;;;2020.10.16 11:01:42;1.65444;;;1.39;
2020.10.15 09:50:28;Buy;0.01;EURGBP.;0.90468;;;2020.10.15 09:50:45;0.90467;;;-0.01;
2020.10.15 00:25:09;Sell Stop;0.01;EURAUD.;1.64528;;;2020.10.15 09:50:45;1.65499;;;;cancelled
2020.10.15 09:49:43;Buy;0.01;EURGBP.;0.90420;;;2020.10.15 09:50:45;0.90470;;;0.64;
2020.10.14 22:00:50;Sell;0.01;EURCAD.;1.54282;;;2020.10.15 09:50:45;1.54423;;;-1.07;
2020.10.15 07:17:09;Buy;0.01;EURGBP.;0.90372;;;2020.10.15 09:50:45;0.90469;;;1.25;
2020.10.15 09:25:02;Sell Stop;0.01;EURAUD.;1.64528;;;2020.10.15 09:50:44;1.65501;;;;cancelled
2020.10.13 22:00:53;Buy;0.01;EURNZD.;1.76772;;;2020.10.14 10:02:03;1.76115;;;-4.38;
2020.10.14 10:01:53;Sell;0.01;EURGBP.;0.90842;;;2020.10.14 10:02:02;0.90627;;;2.79;
2020.10.14 08:25:04;Buy Stop;0.01;EURJPY.;123.899;;;2020.10.14 10:02:02;123.718;;;;cancelled
2020.10.14 10:01:53;Sell;0.01;EURGBP.;0.90855;;;2020.10.14 10:02:02;0.90626;;;2.97;
2020.10.09 13:56:43;Sell;0.01;EURGBP.;0.91049;;;2020.10.09 15:48:29;0.91008;;;0.53;
2020.10.09 12:38:35;Buy;0.01;EURCHF.;1.07756;;;2020.10.09 15:48:29;1.07785;;;0.31;
2020.10.08 13:53:37;Sell;0.01;EURCHF.;1.07938;;;2020.10.09 08:22:27;1.07864;;;0.81;
2020.10.08 13:25:01;Buy Stop;0.01;EURAUD.;1.64332;;;2020.10.09 08:22:27;1.63875;;;;cancelled
2020.10.07 00:40:30;Sell;0.01;EURCAD.;1.56335;;;2020.10.08 02:38:35;1.56002;;;2.51;
2020.10.07 00:40:30;Buy;0.01;EURAUD.;1.65168;;;2020.10.08 02:38:35;1.64947;;;-1.58;
2020.10.07 00:25:01;Sell Stop;0.01;EURAUD.;1.64413;;;2020.10.08 00:23:39;1.64848;;;;cancelled
2020.10.06 08:25:00;Sell Stop;0.01;EURAUD.;1.64455;;;2020.10.08 00:23:39;1.64848;;;;cancelled
2020.09.28 22:09:10;Buy;0.01;EURAUD.;1.64996;;;2020.10.06 23:54:56;1.65289;;;2.08;
2020.10.02 06:01:49;Buy;0.01;EURNZD.;1.76816;;;2020.10.06 23:54:55;1.78266;;;9.54;
